date,dl_traffic_volume_gb,connected_users
12/31/2022,553.1,242.63
1/1/2023,593.37,259.02
1/2/2023,541.73,230.81
1/3/2023,540.51,232.59
1/4/2023,548.22,230.13
1/5/2023,561.04,233.71
1/6/2023,638.19,251.28
1/7/2023,605.47,243.36
1/8/2023,616.73,242.16
1/9/2023,539.03,233.4
1/10/2023,557.51,235.59
1/11/2023,554.27,234.55
1/12/2023,573.18,236.36
1/13/2023,563.85,236.21
1/14/2023,580.95,243
1/15/2023,579.91,246.84
1/16/2023,557.42,230.04
1/17/2023,557.48,226.53
1/18/2023,547.23,234.29
1/19/2023,575.48,239.68
1/20/2023,560.09,238.87
1/21/2023,607.07,244.98
1/22/2023,606.41,250.05
1/23/2023,599.69,240.6
1/24/2023,600.98,246.5
1/25/2023,575.99,240
1/26/2023,583.25,250.41
1/27/2023,610.25,251.83
1/28/2023,620.61,254.26
1/29/2023,629.74,258.43
1/30/2023,631.02,256.15
1/31/2023,639,254.15
2/1/2023,619.16,254.32
2/2/2023,661.09,256.99
2/3/2023,635.47,259.4
2/4/2023,655.06,263.21
2/5/2023,642.43,271.56
2/6/2023,602.36,256.57
2/7/2023,638.77,262.6
2/8/2023,660.27,268.81
2/9/2023,631.14,253.11
2/10/2023,643.24,256.73
2/11/2023,659.99,264.15
2/12/2023,649.49,273.74
2/13/2023,652.58,258.67
2/14/2023,631.33,258.89
2/15/2023,587.02,251.24
2/16/2023,600.85,251.83
2/17/2023,615.64,254.17
2/18/2023,587.6,249.58
2/19/2023,595.23,245.23
2/20/2023,554.82,231.75
2/21/2023,575.65,236.8
2/22/2023,563.94,240.98
2/23/2023,585.04,242.68
2/24/2023,577.54,241.9
2/25/2023,599.29,256.8
2/26/2023,573.5,243.94
2/27/2023,555.82,238.33
2/28/2023,553.13,231.14
3/1/2023,582.69,236.51
3/2/2023,531.04,226.11
3/3/2023,553.99,234.59
3/4/2023,574.55,237.72
3/5/2023,605.06,242.55
3/6/2023,625.25,249.47
3/7/2023,531.03,227.86
3/8/2023,528.25,231.2
3/9/2023,557.65,231.27
3/10/2023,584.99,241.39
3/11/2023,583.5,250.97
3/12/2023,593.72,246.99
3/13/2023,563.57,235.17
3/14/2023,568.18,245.16
3/15/2023,607.63,248.91
3/16/2023,565.87,243.06
3/17/2023,618.89,244.02
3/18/2023,578.4,240.14
3/19/2023,594.69,250.59
3/20/2023,593.28,243.43
3/21/2023,580.67,242.45
3/22/2023,541.73,224.31
3/23/2023,537.59,226.02
3/24/2023,568.97,237
3/25/2023,605.35,256.31
3/26/2023,584.8,255.12
3/27/2023,553.02,237.15
3/28/2023,593.4,240.11
3/29/2023,567.5,247.47
3/30/2023,547.99,245.62
3/31/2023,561.72,242.38
4/1/2023,580.63,243.87
4/2/2023,571.23,242.44
4/3/2023,580.23,240.74
4/4/2023,444.67,205.82
4/5/2023,585.98,251.09
4/6/2023,562.83,235.59
4/7/2023,580.52,246.42
4/8/2023,585.85,245.52
4/9/2023,607.18,254.01
4/10/2023,583.38,247.96
4/11/2023,572.56,249.21
4/12/2023,602.52,257.42
4/13/2023,647.44,270.3
4/14/2023,667.38,296.91
4/15/2023,645.78,273.13
4/16/2023,652.61,261.09
4/17/2023,629.74,253.64
4/18/2023,630.74,250.24
4/19/2023,586.69,245.16
4/20/2023,556.47,237.41
4/21/2023,569.51,244.42
4/22/2023,585.14,259.89
4/23/2023,592.74,248.01
4/24/2023,580.7,245.24
4/25/2023,563.17,240.3
4/26/2023,565.08,240.8
4/27/2023,580.23,249.16
4/28/2023,576.08,251.74
4/29/2023,578.05,248.24
4/30/2023,599.15,252.45
5/1/2023,593.25,249
5/2/2023,568.68,241.63
5/3/2023,549.29,236.84
5/4/2023,545.07,235.13
5/5/2023,603.54,254.43
5/6/2023,647.26,267.54
5/7/2023,630.18,263.13
5/8/2023,583.68,241.74
5/9/2023,550.88,237.08
5/10/2023,554.98,236.56
5/11/2023,549.68,244.68
5/12/2023,583.54,244.49
5/13/2023,596.52,257.81
5/14/2023,593.86,255.71
5/15/2023,548.93,237.46
5/16/2023,560.81,249.05
5/17/2023,564.7,241.42
5/18/2023,583.93,241.72
5/19/2023,591.39,244.8
5/20/2023,604.96,247.86
5/21/2023,596.18,259.55
5/22/2023,547.33,240.86
5/23/2023,553.49,240.47
5/24/2023,539.36,238.31
5/25/2023,545.61,244.76
5/26/2023,594.64,250.76
5/27/2023,583.17,249.05
5/28/2023,592.26,255.57
5/29/2023,542.66,240.82
5/30/2023,579.58,255.04
5/31/2023,592.55,259.43
6/1/2023,598.8,266.44
6/2/2023,622.8,269.19
6/3/2023,540.42,243.83
6/4/2023,625.4,257.79
6/5/2023,600.18,252.75
6/6/2023,598.15,251.38
6/7/2023,588.76,255.7
6/8/2023,601.77,259.89
6/9/2023,604.42,254.52
6/10/2023,629.37,258.27
6/11/2023,635.29,267.2
6/12/2023,591.48,249.66
6/13/2023,601.32,247.76
6/14/2023,553.46,242.63
6/15/2023,584.48,244.68
6/16/2023,596.3,250.66
6/17/2023,597.82,254.28
6/18/2023,615.08,255.04
6/19/2023,597.53,249.5
6/20/2023,584.73,251.67
6/21/2023,574.18,242.98
6/22/2023,563.94,238.69
6/23/2023,594.97,248.24
6/24/2023,604.39,255.72
6/25/2023,632.86,263.88
6/26/2023,576.35,248.26
6/27/2023,597.66,246.01
6/28/2023,599.86,247.52
6/29/2023,624.41,268.61
6/30/2023,628.87,259.72
7/1/2023,614.78,262.84
7/2/2023,669.14,268.84
7/3/2023,659.04,270.78
7/4/2023,597.39,247.02
7/5/2023,588.76,242.63
7/6/2023,563.92,242.96
7/7/2023,618,252.28
7/8/2023,638.65,258.14
7/9/2023,637.13,253.37
7/10/2023,578.73,241.1
7/11/2023,596.33,247.2
7/12/2023,585.3,253.63
7/13/2023,583.02,256.04
7/14/2023,601.17,260.09
7/15/2023,620.87,269.82
7/16/2023,617.16,273.18
7/17/2023,593.36,255.38
7/18/2023,594.66,255.67
7/19/2023,609.12,266.9
7/20/2023,582,263.93
7/22/2023,615.33,275.23
7/23/2023,614.98,279.38
7/24/2023,586.5,265.72
7/25/2023,597.37,269.43
7/26/2023,583.66,267.66
7/27/2023,563.24,261.89
7/28/2023,591.81,273.51
7/29/2023,643.87,274.99
7/30/2023,622.86,278.57
7/31/2023,636.46,284.51
8/1/2023,666.56,302.54
8/2/2023,620.04,275.38
8/3/2023,590.82,273.04
8/4/2023,604.28,279.01
8/5/2023,626.67,280.91
8/6/2023,618.68,282.38
8/7/2023,584.05,269.45
8/8/2023,599.27,269.96
8/9/2023,596.68,272.3
8/10/2023,588.36,273.06
